technology,github_repo_query,github_activity_query,github_repository_count,github_issue_count_180d,github_pr_count_180d,github_activity_count_180d,github_repo_score,github_activity_score,repo_incomplete_results,issue_incomplete_results,pr_incomplete_results,sample_repositories,sample_issues_or_prs,from_date_utc,to_date_utc,metric_basis,metric_note
R,"""r language"" OR rstats in:name,description,readme","""r language"" OR rstats",25035,4996,11352,16348,0.0404,0.0346,False,False,False,spite/rstats; romantseg/rbooks; hotsh/rstat.us; radiant-rstats/radiant; Kaggle/docker-rstats,https://github.com/version-fox/vfox-plugins/issues/37; https://github.com/christopherkenny/awesome-rstats-skills/issues/2; https://github.com/reginabarzilaygroup/Sybil/issues/79,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
C,"""c language"" in:name,description,readme","""c language""",164739,30824,49545,80369,0.2838,0.1835,False,False,False,AnthonyCalandra/modern-cpp-features; hubojing/C-Language-Games; dimpeshmalviya/C-Language-Programs; lintingbin/C-language; dinhvh/libetpan,https://github.com/vaishnavibandaram8171-tech/code/issues/5; https://github.com/dotnet/vscode-csharp/issues/9648; https://github.com/soliare665/Start-of-my-programming-journey/issues/1,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
ClickHouse,"ClickHouse in:name,description,readme",ClickHouse,44224,21442,111854,133296,0.0739,0.3067,False,False,False,ClickHouse/ClickHouse; TimonKK/clickhouse; ClickHouse/clickhouse-go; Altinity/clickhouse-operator; sentry-kubernetes/charts,https://github.com/azzamsa/awesome-lisp-companies/issues/105; https://github.com/ntop/ntopng/issues/10718; https://github.com/dagucloud/dagu/issues/2553,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Transformers,"Transformers in:name,description,readme",Transformers,1114707,48017,147197,195214,1.9386,0.4507,False,False,False,huggingface/transformers; jamescalam/transformers; huggingface/sentence-transformers; NielsRogge/Transformers-Tutorials; labmlai/annotated_deep_learning_paper_implementations,https://github.com/smit6366/Unity-Space-Project/issues/244; https://github.com/weka511/nlp/issues/75; https://github.com/mujiu555/Wishful-Thinking/issues/27,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Ansible,"Ansible in:name,description,readme",Ansible,508686,34395,120592,154987,0.8829,0.3571,False,False,False,ansible/ansible; yankils/ansible; prometheus-community/ansible; DeekshithSN/Ansible; geerlingguy/ansible-for-devops,https://github.com/wrk-tafel/admin/issues/3072; https://github.com/uibm/trending-watcher/issues/4172; https://github.com/uibm/trending-watcher/issues/4145,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
MongoDB,"MongoDB in:name,description,readme",MongoDB,2955698,65595,249508,315103,5.1454,0.7296,False,False,False,dockerfile/mongodb; doctrine/mongodb; elixir-mongo/mongodb; qianjiahao/MongoDB; mongodb-haskell/mongodb,https://github.com/t8y2/dbx/issues/6250; https://github.com/mbusdev/mbus-backend-dev/issues/56; https://github.com/abhisheksharma2411/justonce/issues/4,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Figma,"Figma in:name,description,readme",Figma,893954,96722,121108,217830,1.554,0.5033,False,False,False,selvasachein/Figma; berlin449/Figma; GLips/Figma-Context-MCP; bernaferrari/FigmaToCode; ParthJadhav/Tkinter-Designer,https://github.com/ipsita28roy-create/Healthcare-Predicting-Hospital-Readmissions/issues/2; https://github.com/kynncde/kyn/issues/3; https://github.com/kynncde/kyn/issues/2,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
gRPC,"grpc in:name,description,readme",grpc,267001,63184,466135,529319,0.4619,1.228,False,False,False,grpc/grpc; elixir-grpc/grpc; grpc/grpc-go; grpc/grpc-java; grpc-ecosystem/grpc-gateway,https://github.com/chatnoir-eu/chatnoir-resiliparse/issues/57; https://github.com/Mateus2411/Mateus2411/issues/38; https://github.com/crazy-goat/tikv-php/issues/284,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
CSS,"CSS in:name,description,readme",CSS,16693632,510353,3579898,4090251,29.0758,9.5127,False,False,False,primer/css; airbnb/css; hakimel/css; reworkcss/css; bevacqua/css,https://github.com/ghugemangesh54-spec/pvp-college/issues/10; https://github.com/rudraconsultancyoffice/rc/issues/7; https://github.com/rudraconsultancyoffice/rc/issues/6,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Next.js,"nextjs OR next.js in:name,description,readme",nextjs OR next.js,8168459,154928,1065263,1220191,14.2256,2.8354,False,False,False,vercel/next.js; nextjs/saas-starter; transitive-bullshit/nextjs-notion-starter-kit; mschwarzmueller/nextjs-course-code; unicodeveloper/awesome-nextjs,https://github.com/codecov/codecov-javascript-bundler-plugins/issues/356; https://github.com/jroethel/pokemine/issues/5; https://github.com/hasanraiyan/agent-marketplace/issues/232,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
LangChain,"LangChain in:name,description,readme",LangChain,633566,30664,161065,191729,1.1005,0.4426,False,False,False,langchain-ai/langchain; brainlid/langchain; codebasics/langchain; tryAGI/LangChain; langchain-ai/langgraph,https://github.com/pradip6022/chatbot/issues/1; https://github.com/garima-joshi07/NLP-SpamHam-Classifier/issues/1; https://github.com/Fzgt/Blog/issues/46,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Helm,"Helm in:name,description,readme",Helm,328245,88661,523850,612511,0.5686,1.4216,False,False,False,helm/helm; emacs-helm/helm; stanford-crfm/helm; mtytel/helm; nextcloud/helm,https://github.com/nanohype/portal/issues/168; https://github.com/sustainable-computing-io/kepler/issues/2523; https://github.com/tenstorrent/tt-inference-server/issues/4926,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Databricks,"Databricks in:name,description,readme",Databricks,131987,12200,47366,59566,0.2267,0.1351,False,False,False,dennyglee/databricks; DataExpert-io/data-engineer-handbook; databricks/Spark-The-Definitive-Guide; databrickslabs/dolly; mlflow/mlflow,https://github.com/tangpingqingwa/hartevo-desktop/issues/333; https://github.com/sqitchers/sqitch/issues/925; https://github.com/braintrustdata/braintrust-proxy/issues/1092,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Jira,"Jira in:name,description,readme",Jira,245471,107900,654128,762028,0.4244,1.7694,False,False,False,pycontribs/jira; go-jira/jira; teamatldocker/jira; docker-atlassian/jira; sooperset/mcp-atlassian,https://github.com/kirodotdev/KiroCrew/issues/3041; https://github.com/zmarkoni/AgenticDraft/issues/1; https://github.com/HANCORE-linux/omarchy-plugin-marketplace/issues/156,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Lua,"Lua in:name,description,readme",Lua,446804,81545,171954,253499,0.7751,0.5863,False,False,False,lua/lua; LuaDist/lua; Windower/Lua; TheAlgorithms/Lua; luadotsh/lua,https://github.com/asxxxsd99-svg/V3.lua/issues/1; https://github.com/matysduq24-source/stream-starting-soon/issues/1; https://github.com/leandrofloresari-droid/strongman---delta/issues/1,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Elasticsearch,"Elasticsearch in:name,description,readme",Elasticsearch,254234,30562,90597,121159,0.4397,0.2784,False,False,False,elastic/elasticsearch; sous-chefs/elasticsearch; docker-library/elasticsearch; dockerfile/elasticsearch; baidu/Elasticsearch,https://github.com/community-scripts/ProxmoxVED/issues/2139; https://github.com/nodegreecode/volunteeros/issues/6; https://github.com/D3v4D/ReceiptScanner/issues/9,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Amazon S3,"amazon-s3 OR s3 in:name,description,readme",amazon-s3 OR s3,1413372,179944,931947,1111891,2.4588,2.5834,False,False,False,qoobaa/s3; Lepozepo/S3; iam-veeramalla/shell-scripting-projects; s3tools/s3cmd; s3fs-fuse/s3fs-fuse,https://github.com/christiantriadataro/educative/issues/157; https://github.com/Christian-Schou/TWC.BC.ExternalStorage/issues/21; https://github.com/DmitriiAfanasev/cookstreak/issues/8,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
HTML,"HTML in:name,description,readme",HTML,18907702,1092631,10942114,12034745,32.9325,27.996,False,False,False,whatwg/html; LaravelCollective/html; w3c/html; illuminate/html; mrmrs/html,https://github.com/JSv4/Docxodus/issues/438; https://github.com/s69122202050-beep/tinnapob/issues/1; https://github.com/microsoft/vscode-edge-devtools/issues/4890,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
GitHub Actions,"""github actions"" in:name,description,readme","""github actions""",2603017,1026510,13666168,14692678,4.5311,34.1799,False,False,False,actions/runner-images; actions/starter-workflows; nektos/act; P3TERX/Actions-OpenWrt; actions/runner,https://github.com/amanuelgebreegziabhare-maker/SQL-Learning-Project/issues/27; https://github.com/ErickFabio/taskflow/issues/9; https://github.com/mm1400/mobilerun/issues/6,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Cloudflare Workers,"""cloudflare workers"" OR wrangler in:name,description,readme","""cloudflare workers"" OR wrangler",370234,40346,799241,839587,0.6418,1.9499,False,False,False,kriasoft/react-starter-kit; shuaiplus/nodewarden; cloudflare/workers-sdk; cloudflare/moltworker; serverless-dns/serverless-dns,https://github.com/joecirillo/recipe-api/issues/18; https://github.com/Vacotir/Duolingo-provencale/issues/6; https://github.com/m-johany/tg-eventplannerbot/issues/9,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Amazon EKS,"""Amazon EKS"" in:name,description,readme","""Amazon EKS""",26260,1517,20679,22196,0.0426,0.0482,False,False,False,awslabs/amazon-eks-ami; aws-ia/terraform-aws-eks-blueprints; eksctl-io/eksctl; awsdocs/amazon-eks-user-guide; aws/eks-charts,https://github.com/omarwaziry/enterprise-aws-devsecops-platform/issues/5; https://github.com/MSKazemi/kubeintellect/issues/101; https://github.com/vmprachi7/agentic-sentinel/issues/31,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Hadoop,"Hadoop in:name,description,readme",Hadoop,139364,5107,18473,23580,0.2396,0.0514,False,False,False,apache/hadoop; matteobertozzi/Hadoop; apache/spark; mesos/hadoop; steveloughran/winutils,https://github.com/edadou-byte/data-architect-roadmap/issues/14; https://github.com/viki123v/comparison-cassandra-hadoop/issues/1; https://github.com/locationtech/geomesa/issues/7241,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Tableau,"tableau in:name,description,readme",tableau,443271,12964,38626,51590,0.769,0.1166,False,False,False,JCATHoney/tableau; elixir-tools/tableau; EAAppFoundry/tableau; tableau/TabPy; tableau/webdataconnector,https://github.com/esturgion/tribushare/issues/101; https://github.com/hediiiy/stage2026/issues/25; https://github.com/cline/mcp-marketplace/issues/2078,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Zendesk,"Zendesk in:name,description,readme",Zendesk,22548,5719,10287,16006,0.0361,0.0338,False,False,False,maxgutman/zendesk; blakmatrix/node-zendesk; freescout-help-desk/freescout; zendesk/maxwell; cloudbees-oss/zendesk-java-client,https://github.com/tangpingqingwa/hartevo-desktop/issues/397; https://github.com/PipedreamHQ/pipedream/issues/21540; https://github.com/nimbus-agent/Nimbus/issues/974,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Pandas,"Pandas in:name,description,readme",Pandas,3103362,42156,143307,185463,5.4026,0.428,False,False,False,pandas-dev/pandas; KeithGalli/pandas; minsuk-heo/pandas; guipsamora/pandas_exercises; datasciencescoop/Pandas,https://github.com/pandas-dev/pandas-stubs/issues/1888; https://github.com/Zeek0913/-/issues/10; https://github.com/mindsdb/type_infer/issues/87,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Okta,"Okta in:name,description,readme",Okta,37304,6016,17668,23684,0.0618,0.0516,False,False,False,cypress-io/cypress-realworld-app; Nike-Inc/gimme-aws-creds; okta/okta-developer-docs; oktadev/java-microservices-examples; segmentio/aws-okta,https://github.com/du3ly/homelab/issues/84; https://github.com/0xRavenspar/huntr/issues/16; https://github.com/openpubkey/opkssh/issues/600,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Apache Iceberg,"""Apache Iceberg"" in:name,description,readme","""Apache Iceberg""",7511,2755,13913,16668,0.0099,0.0353,False,False,False,apache/iceberg; apache/iceberg-rust; apache/iceberg-python; apache/iceberg-go; datazip-inc/olake,https://github.com/MrTommyt/clima-santa-marta/issues/19; https://github.com/open-lakehouse/openlakehouse-io/issues/22; https://github.com/PyTorchKR/oss-landscape/issues/125,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Splunk,"Splunk in:name,description,readme",Splunk,66786,6408,26968,33376,0.1132,0.0742,False,False,False,vectordotdev/vector; open-telemetry/opentelemetry-collector-contrib; splunk/security_content; splunk/attack_range; splunk/splunk-sdk-python,https://github.com/Cgaines09/tryhackme/issues/14; https://github.com/Gill98bee/Enterprise-SOC-and-Cloud-Security-Lab/issues/8; https://github.com/NetApp/harvest/issues/4347,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Assembly,"Assembly in:name,description,readme",Assembly,578159,112219,361606,473825,1.0039,1.0989,False,False,False,XboxChaos/Assembly; brianrhall/Assembly; nekosilverfox/Assembly; fmw666/Assembly; mapbox/assembly,https://github.com/seedhammer/hardware/issues/2; https://github.com/nakujaproject/Internship-2026/issues/221; https://github.com/nakujaproject/Internship-2026/issues/214,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Bazel,"Bazel in:name,description,readme",Bazel,30600,15782,129404,145186,0.0501,0.3343,False,False,False,bazelbuild/bazel; SeleniumHQ/selenium; protocolbuffers/protobuf; android/testing-samples; google/gvisor,https://github.com/envoyproxy/bazel-registry/issues/7; https://github.com/envoyproxy/toolshed/issues/5077; https://github.com/CurateLabs/graphforge/issues/720,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Gradle,"Gradle in:name,description,readme",Gradle,879736,75413,748961,824374,1.5293,1.9145,False,False,False,gradle/gradle; JetBrains/kotlin; NationalSecurityAgency/ghidra; paketo-buildpacks/gradle; apache/kafka,https://github.com/Cthulhu72/JaniPlayerMinimal/issues/1; https://github.com/node-gradle/gradle-node-plugin/issues/351; https://github.com/tomhula/JecnaAPI/issues/34,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Cassandra,"Cassandra in:name,description,readme",Cassandra,73079,5316,42333,47649,0.1241,0.1074,False,False,False,apache/cassandra; docker-library/cassandra; cassandra-rb/cassandra; pokle/cassandra; facebookarchive/cassandra,https://github.com/smit6366/Unity-Space-Project/issues/75; https://github.com/bop-clocktower/canary/issues/612; https://github.com/rfsbraz/orrery-content/issues/158,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Pulumi,"Pulumi in:name,description,readme",Pulumi,19160,10882,58737,69619,0.0302,0.1585,False,False,False,pulumi/pulumi; pulumi/examples; pulumi/docs; pulumi/pulumi-aws; pulumi/pulumi-kubernetes,https://github.com/marin-community/marin/issues/7571; https://github.com/marin-community/marin/issues/7523; https://github.com/marin-community/marin/issues/7261,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Trino,"Trino in:name,description,readme",Trino,10395,4370,15359,19729,0.0149,0.0424,False,False,False,trinodb/trino; apache/superset; dropbox/PyHive; apache/gravitino; trinodb/trino-python-client,https://github.com/exmergo/dex/issues/187; https://github.com/apachehudi-ci/hudi-mirror/issues/1; https://github.com/edadou-byte/data-architect-roadmap/issues/12,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Buildkite,"Buildkite in:name,description,readme",Buildkite,5411,11855,76876,88731,0.0063,0.203,False,False,False,buildkite/agent; buildkite/emojis; buildkite/elastic-ci-stack-for-aws; LineageOS/android; Automattic/wp-desktop,https://github.com/tangpingqingwa/hartevo-desktop/issues/368; https://github.com/elastic/cloud-on-k8s/issues/9627; https://github.com/oxidecomputer/oxide-gha-runner-scale-set-controller/issues/16,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Jenkins,"Jenkins in:name,description,readme",Jenkins,763053,24298,279051,303349,1.326,0.7023,False,False,False,jenkinsci/jenkins; sous-chefs/jenkins; openshift/jenkins; fleetman-ci-cd-demo/jenkins; iam-veeramalla/Jenkins-Zero-To-Hero,https://github.com/M-bello4/muhbellpro-/issues/1; https://github.com/C2SM/spack-c2sm/issues/1086; https://github.com/jenkins-migrations/configuration-management-hub/issues/1,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Dagster,"Dagster in:name,description,readme",Dagster,11135,3634,14742,18376,0.0162,0.0393,False,False,False,dagster-io/dagster; dagster-io/project-dagster-university; hnawaz007/pythondataanalysis; zsvoboda/ngods-stocks; dagster-io/dagster-open-platform,https://github.com/tangpingqingwa/hartevo-desktop/issues/383; https://github.com/docker-hardened-images/catalog/issues/524; https://github.com/CDCgov/cfa-dagster/issues/153,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Redux,"Redux in:name,description,readme",Redux,1289661,15417,71601,87018,2.2433,0.199,False,False,False,reduxjs/redux; reduxjs/react-redux; tylermcginnis/Redux; markerikson/react-redux-links; redux-saga/redux-saga,https://github.com/elastic/kibana/issues/280472; https://github.com/elastic/kibana/issues/280481; https://github.com/elastic/kibana/issues/280480,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Looker,"Looker in:name,description,readme",Looker,48121,1825,6673,8498,0.0807,0.0163,False,False,False,looker-open-source/sdk-codegen; GoogleCloudPlatform/cortex-data-foundation; looker/lookerbot; RunaCapital/awesome-oss-alternatives; looker-open-source/looker-explore-assistant,https://github.com/GaborTeichter/EP-EX-Automation/issues/20; https://github.com/nkcreate/ROOKIE-STYLE/issues/9; https://github.com/tj-999-comp/NBA_Draft_DB/issues/7,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
OpenTelemetry,"OpenTelemetry in:name,description,readme",OpenTelemetry,118223,73891,442474,516365,0.2028,1.1979,False,False,False,Bhoopesh123/OpenTelemetry; go-gorm/opentelemetry; elastic/opentelemetry; open-telemetry/opentelemetry-demo; open-telemetry/opentelemetry-collector,https://github.com/enrique-amador/ai-freelancer-roadmap/issues/13; https://github.com/devopspracticeonly/opentelemetry/issues/1; https://github.com/fu351/Doberman-Core/issues/245,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Envoy,"Envoy in:name,description,readme",Envoy,69795,16903,59864,76767,0.1184,0.1751,False,False,False,envoyproxy/envoy; not-kennethreitz/envoy; laravel/envoy; servicemesher/envoy; envoyproxy/gateway,https://github.com/phlax/envoy/issues/161; https://github.com/IBM/actionspz/issues/125; https://github.com/hugimuni-labs/brnrd/issues/1067,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Ruby on Rails,"""ruby on rails"" OR rails in:name,description,readme","""ruby on rails"" OR rails",1250606,46238,326757,372995,2.1753,0.8643,False,False,False,rails/rails; capistrano/rails; fatfreecrm/fat_free_crm; activeadmin/activeadmin; ryanb/cancan,https://github.com/nathanielsims45/nathanielsims45/issues/22; https://github.com/awesome-jobs/vietnam/issues/4999; https://github.com/backend-pt/vagas/issues/157,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Cloudflare,"Cloudflare in:name,description,readme",Cloudflare,942176,150262,1664379,1814641,1.638,4.2184,False,False,False,ip-scanner/cloudflare; caddy-dns/cloudflare; socketry/cloudflare; jamesryanbell/cloudflare; cloudflare/cloudflare-docs,https://github.com/huggingface/chat-ui/issues/2497; https://github.com/crmndev/hay-kilner/issues/2; https://github.com/K-Forge/Beetle/issues/170,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Triton Inference Server,"""Triton Inference Server"" in:name,description,readme","""Triton Inference Server""",3941,403,1085,1488,0.0037,0.0,False,False,False,triton-inference-server/server; triton-inference-server/tutorials; triton-inference-server/client; fauxpilot/fauxpilot; triton-inference-server/backend,https://github.com/anthony-chaudhary/fak/issues/5718; https://github.com/Narwhal-Lab/Narwhal-aicode-risks/issues/138; https://github.com/Allen0518/NVIDIA/issues/8,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
AWS CloudFormation,"""AWS CloudFormation"" in:name,description,readme","""AWS CloudFormation""",66490,4108,38563,42671,0.1127,0.0958,False,False,False,aws-cloudformation/aws-cloudformation-templates; widdix/aws-cf-templates; stelligent/cloudformation_templates; awsdocs/aws-cloudformation-user-guide; mingrammer/diagrams,https://github.com/codesnippetsforall/Unlock-your-true-potential/issues/116; https://github.com/alphacrack/iac-scanner/issues/64; https://github.com/PinSpace-Org/GistPin/issues/927,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
NetSuite,"NetSuite in:name,description,readme",NetSuite,6473,758,2920,3678,0.0081,0.0051,False,False,False,NetSweet/netsuite; jacobsvante/netsuite; netsuitephp/netsuite-php; netsuite-upload-org/netsuite-upload; headintheclouddev/typings-suitescript-2.0,https://github.com/tangpingqingwa/hartevo-desktop/issues/487; https://github.com/raavier/post_news/issues/443; https://github.com/burkybang/SuiteAdvanced-Feedback/issues/301,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
FastAPI,"FastAPI in:name,description,readme",FastAPI,2192877,105441,404496,509937,3.8166,1.1829,False,False,False,fastapi/fastapi; windson/fastapi; railwayapp-templates/fastapi; marciovrl/fastapi; render-examples/fastapi,https://github.com/that1bohdaniuk/air-quality-regression/issues/13; https://github.com/enrique-amador/ai-freelancer-roadmap/issues/2; https://github.com/Zaradyl/bi-report-automation-platform/issues/2,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
SwiftUI,"SwiftUI in:name,description,readme",SwiftUI,251326,19622,77553,97175,0.4346,0.2226,False,False,False,ivanvorobei/SwiftUI; Jinxiansen/SwiftUI; ygit/swiftui; dkhamsing/open-source-ios-apps; jrasmusson/swiftui,https://github.com/2024Jimmy/webStudy/issues/1; https://github.com/leandro4979-hub/neuralforge/issues/8; https://github.com/fallofpheonix/EMU8086-mac/issues/6,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
CockroachDB,"CockroachDB in:name,description,readme",CockroachDB,13892,14141,22498,36639,0.021,0.0818,False,False,False,cockroachdb/cockroach; cockroachdb/pebble; cockroachdb/docs; hibernate/hibernate-orm; cockroachdb/helm-charts,https://github.com/abhisheksharma2411/justonce/issues/6; https://github.com/Ashomondi/Skill-match/issues/77; https://github.com/oxidecomputer/omicron/issues/11084,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Puppet,"Puppet in:name,description,readme",Puppet,89106,6858,13986,20844,0.1521,0.045,False,False,False,puppetlabs/puppet; Raytone-D/puppet; wechaty/wechaty; wechaty/puppet; puppeteer/puppeteer,https://github.com/iKonoTelecomunicaciones/whatsapp-cloud/issues/215; https://github.com/attogram/attogram-pre-production-studio/issues/37; https://github.com/darkn3rd/script-tut/issues/23,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
PHP,"PHP in:name,description,readme",PHP,5523932,263800,923937,1187737,9.6191,2.7599,False,False,False,docker-library/php; TheAlgorithms/PHP; threadshare/php; vercel-community/php; sous-chefs/php,https://github.com/esvianna/THEME-AMALABS/issues/4; https://github.com/NanoNets/Graft/issues/78; https://github.com/yyz8097/cve/issues/1,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Google GKE,"""Google GKE"" in:name,description,readme","""Google GKE""",1817,1424,6402,7826,0.0,0.0147,False,False,False,gruntwork-io/terraform-google-gke; jetstack/terraform-google-gke-cluster; terraform-google-modules/terraform-google-gke-gitlab; canonical/microk8s; stacksimplify/google-kubernetes-engine,https://github.com/MSKazemi/kubeintellect/issues/102; https://github.com/apache/airflow/issues/69825; https://github.com/hashicorp/terraform-provider-google/issues/28717,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
DynamoDB,"DynamoDB in:name,description,readme",DynamoDB,218751,17220,110839,128059,0.3779,0.2945,False,False,False,baseprime/dynamodb; ACloudGuru/dynamodb; serverless/examples; chiefbiiko/dynamodb; apereo/cas,https://github.com/abhisheksharma2411/justonce/issues/2; https://github.com/ravocode/AvoOnce/issues/3; https://github.com/quannguyen-agilityio/aws-training/issues/17,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Objective-C,"""Objective-C"" in:name,description,readme","""Objective-C""",86305,10208,38716,48924,0.1472,0.1104,False,False,False,pubnub/objective-c; johnezang/JSONKit; grpc/grpc; microsoft/WinObjC; ccgus/fmdb,https://github.com/mlaify/AttackMap/issues/190; https://github.com/mlaify/AttackMap/issues/205; https://github.com/gnustep/apps-projectcenter/issues/43,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
GitLab,"GitLab in:name,description,readme",GitLab,584633,88051,307707,395758,1.0152,0.9173,False,False,False,NARKOZ/gitlab; semantic-release/gitlab; repo-utils/gitlab; gitlabhq/gitlabhq; maubot/gitlab,https://github.com/superset-sh/superset/issues/6445; https://github.com/nschema-org/NSchema.Gauntlet/issues/9; https://github.com/Ishannaik/mergeid/issues/73,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Spring,"Spring in:name,description,readme",Spring,4012579,131789,462602,594391,6.9864,1.3794,False,False,False,MengTo/Spring; mybatis/spring; spring/spring; eazybytes/spring; rails/spring,https://github.com/liongate-sarl/liongate-docs/issues/67; https://github.com/liongate-sarl/liongate-docs/issues/68; https://github.com/AgusFT/La-Montana/issues/156,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
RabbitMQ,"RabbitMQ in:name,description,readme",RabbitMQ,298603,15477,77909,93386,0.517,0.2138,False,False,False,sky-big/RabbitMQ; docker-library/rabbitmq; render-examples/rabbitmq; dockerfile/rabbitmq; rabbitmq/rabbitmq-server,https://github.com/EVA-ECS/Delivery-Service/issues/2; https://github.com/EVA-ECS/Storage-Service/issues/3; https://github.com/cristhianchulca49/StemSplit/issues/20,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
ArgoCD,"ArgoCD in:name,description,readme",ArgoCD,103462,17395,87455,104850,0.1771,0.2405,False,False,False,bukurt/argocd; devops0014/argocd; argoproj/argo-helm; devopsjourney1/argo-examples; argoproj/argocd-example-apps,https://github.com/smir22/eks-deployment-app/issues/27; https://github.com/Ramilito/kubectl.nvim/issues/780; https://github.com/kevin-kho/manifest-separator/issues/26,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Express,"Express in:name,description,readme",Express,5509479,226609,739421,966030,9.5939,2.2441,False,False,False,expressjs/express; htmlk/express; crossroadlabs/Express; A-FE/express; jitwxs/express,https://github.com/bitskc/tuunz-sales/issues/155; https://github.com/pharexnguimgo-glitch/permis-express-/issues/1; https://github.com/hasanraiyan/agent-marketplace/issues/228,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
