technology,github_repo_query,github_activity_query,github_repository_count,github_issue_count_180d,github_pr_count_180d,github_activity_count_180d,github_repo_score,github_activity_score,repo_incomplete_results,issue_incomplete_results,pr_incomplete_results,sample_repositories,sample_issues_or_prs,from_date_utc,to_date_utc,metric_basis,metric_note
JavaScript,"javascript in:name,description,readme",javascript,12691079,273824,1649253,1923077,22.1036,4.4707,False,False,False,airbnb/javascript; TheAlgorithms/JavaScript; GitbookIO/javascript; yangxi0126/javaScript; gustavoguanabara/javascript,https://github.com/vaishnavibandaram8171-tech/code/issues/8; https://github.com/JoaoVictor-hub-oss/UpSite-Repositorio/issues/1; https://github.com/ivan27-prog/scrum/issues/8,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Rust,"rust in:name,description,readme",rust,1442002,411425,1638010,2049435,2.5087,4.7647,False,False,False,rust-lang/rust; TheAlgorithms/Rust; tensorflow/rust; exercism/rust; nikivdev/rust,https://github.com/fredrkl/nvimsetup/issues/82; https://github.com/hdds-team/hdds/issues/12; https://github.com/sylmarien/spawn-agent/issues/17,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
React,"react in:name,description,readme",react,22359939,561292,5231391,5792683,38.946,13.4735,False,False,False,react/react; typescript-cheatsheets/react; duxianwei520/react; primer/react; ysymyth/ReAct,https://github.com/DanielleCarvalho-26/gerenciador-de-eventos/issues/1; https://github.com/SAPTARSHI-coder/EaseMotion-css/issues/84139; https://github.com/SAPTARSHI-coder/EaseMotion-css/issues/84135,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Claude,"claude OR anthropic in:name,description,readme",claude OR anthropic,2292010,1639851,13996091,15635942,3.9893,36.3744,False,False,False,anthropics/skills; anthropics/claude-code; anthropics/prompt-eng-interactive-tutorial; anthropics/claude-cookbooks; anthropics/courses,https://github.com/irzix/nestjs-agentic/issues/39; https://github.com/irgendjemandkeinkorper/godot-scene-architect/issues/17; https://github.com/RujulP14/arbordocs/issues/32,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Terraform,"terraform in:name,description,readme",terraform,886764,111437,462075,573512,1.5415,1.3308,False,False,False,hashicorp/terraform; Azure/terraform; collabnix/terraform; anshulc55/terraform; tensult/terraform,https://github.com/allisonmahmood/PatchPage/issues/79; https://github.com/juancarlosjr97/pre-commit-to-rule-them-all/issues/131; https://github.com/adolphpheonix7-creator/Evo-Tech-Kumbernetes-Platform/issues/6,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Linux,"linux in:name,description,readme",linux,6732303,842332,2183742,3026074,11.7239,7.0369,False,False,False,torvalds/linux; raspberrypi/linux; analogdevicesinc/linux; gregkh/linux; beagleboard/linux,https://github.com/MiniMax-AI/minimax-code/issues/122; https://github.com/dalila-mendonca/my-journey/issues/5; https://github.com/Nazar-Okruzhko/Model-Researcher-Ultimate/issues/5,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
GPT,"openai OR gpt OR ""OPENAI_API_KEY"" in:name,description,readme","openai OR gpt OR ""OPENAI_API_KEY""",2784637,448997,1352027,1801024,4.8474,4.1867,False,False,False,ChatGPTNextWeb/NextChat; Chanzhaoyu/chatgpt-web; openai/openai-cookbook; abi/screenshot-to-code; sashabaranov/go-openai,https://github.com/dilkhush1spq-lgtm/Dilkhush.ai/issues/2; https://github.com/openstory-so/openstory/issues/1168; https://github.com/wangfenghuan/w-next-ai-drawio/issues/7,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Node.js,"nodejs OR node.js in:name,description,readme",nodejs OR node.js,13857128,249835,3000524,3250359,24.1348,7.5587,False,False,False,nodejs/node; wchaowu/nodejs; nodejs/nodejs.org; alphasecio/nodejs; kelektiv/node.bcrypt.js,https://github.com/witchcraze/EOL-DataSet/issues/464; https://github.com/Poom5741/ai-sdlc-course/issues/70; https://github.com/Zion-support/zion-support.github.io/issues/69522,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
PostgreSQL,"postgresql OR postgres in:name,description,readme",postgresql OR postgres,4586935,337978,1387346,1725324,7.9869,4.0106,False,False,False,postgres/postgres; ANXS/postgresql; sous-chefs/postgresql; docker-library/postgres; porsager/postgres,https://github.com/librespeed/speedtest-rust/issues/48; https://github.com/khaivutri/bookmark-service-deployment/issues/3; https://github.com/Cresifine/jp-seismic-pipeline/issues/7,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Docker,"docker in:name,description,readme",docker,8119609,714129,3701090,4415219,14.1405,10.2688,False,False,False,jenkinsci/docker; nextcloud/docker; odoo/docker; sous-chefs/docker; docker-library/docker,https://github.com/santicodevv/TemploBiblico/issues/7; https://github.com/nomatronio/derrick/issues/23; https://github.com/rahulvijay81/recurb/issues/45,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Apache Spark,"""apache spark"" OR pyspark in:name,description,readme","""apache spark"" OR pyspark",227323,7595,41509,49104,0.3928,0.1108,False,False,False,apache/spark; microsoft/SynapseML; gettyimages/docker-spark; databricks/koalas; JohnSnowLabs/spark-nlp,https://github.com/locationtech/geomesa/issues/10641; https://github.com/Open-EO/openeo-geopyspark-driver/issues/1755; https://github.com/dkypuros/Telco_Systems_Integration_Lab/issues/38,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Apache Kafka,"""apache kafka"" OR kafka in:name,description,readme","""apache kafka"" OR kafka",502784,40935,201778,242713,0.8726,0.5612,False,False,False,apache/kafka; wurstmeister/kafka-docker; provectus/kafka-ui; conduktor/kafka-beginners-course; dpkp/kafka-python,https://github.com/stanfish06/skillquarium/issues/598; https://github.com/Pankajajagdish/job-hunt-agent/issues/419; https://github.com/Lios404/Financial-Event-Streaming-Platform/issues/1,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
